"","ticker","year","GHG","n","X","Company_Year","Reduction_Sentences"
"292","BMY",2012,118048,13,NA,NA,NA
"293","BMY",2013,129360,13,NA,NA,NA
"294","BMY",2014,125673,13,NA,NA,NA
"295","BMY",2015,122001,13,NA,NA,NA
"296","BMY",2016,118298,13,NA,NA,NA
"297","BMY",2017,121417,13,NA,NA,NA
"298","BMY",2018,110217,13,NA,NA,NA
"299","BMY",2019,84260,13,NA,NA,NA
"300","BMY",2020,83475,13,NA,NA,NA
"301","BMY",2021,90193,13,NA,NA,NA
"302","BMY",2022,91669,13,NA,NA,NA
"303","BP",2010,24727581.1512,13,NA,NA,NA
"304","BP",2011,27001313.4012,13,NA,NA,NA
"305","BP",2012,26823603.561,13,NA,NA,NA
"306","BP",2013,15527839.9746,13,NA,NA,NA
"307","BP",2014,14665537.346,13,NA,NA,NA
"308","BP",2015,14957640.1253,13,NA,NA,NA
"309","BP",2016,18065450.4837,13,NA,NA,NA
"310","BP",2017,17364743.3517,13,NA,NA,NA
"311","BP",2018,16856108.4946,13,NA,NA,NA
"312","BP",2019,16904353.0063996,13,NA,NA,NA
"313","BP",2020,16110908.6147,13,NA,NA,NA
"314","BP",2021,14397110.6735,13,NA,NA,NA
"315","BP",2022,16034672.8073,13,NA,NA,NA
"316","CAG",2010,327614,13,NA,NA,NA
"317","CAG",2011,512108,13,NA,NA,NA
"318","CAG",2012,515782,13,NA,NA,NA
"319","CAG",2013,509017,13,NA,NA,NA
"320","CAG",2014,524517,13,NA,NA,NA
"321","CAG",2015,552198,13,NA,NA,NA
"322","CAG",2016,198075,13,NA,NA,NA
"323","CAG",2017,120982,13,NA,NA,NA
"324","CAG",2018,93500,13,NA,NA,NA
"325","CAG",2019,123700,13,NA,NA,NA
"326","CAG",2020,140014,13,NA,NA,NA
"327","CAG",2021,143520,13,NA,NA,NA
"328","CAG",2022,158390,13,NA,NA,NA
"329","CAT",2010,284997,13,NA,NA,NA
"330","CAT",2011,484402,13,NA,NA,NA
"331","CAT",2012,584231,13,NA,NA,NA
"332","CAT",2013,586191,13,NA,NA,NA
"333","CAT",2014,577770,13,NA,NA,NA
"334","CAT",2015,546156,13,NA,NA,NA
"335","CAT",2016,519334,13,NA,NA,NA
"336","CAT",2017,575199,13,NA,NA,NA
"337","CAT",2018,641042,13,NA,NA,NA
"338","CAT",2019,596463,13,NA,NA,NA
"339","CAT",2020,459262,13,NA,NA,NA
"340","CAT",2021,471627,13,NA,NA,NA
"341","CAT",2022,479805,13,NA,NA,NA
"342","CBT",2010,5389,13,NA,NA,NA
"343","CBT",2011,1460463,13,NA,NA,NA
"344","CBT",2012,1782186,13,NA,NA,NA
"345","CBT",2013,1024861,13,NA,NA,NA
"346","CBT",2014,920922,13,NA,NA,NA
"347","CBT",2015,1702934,13,NA,NA,NA
"348","CBT",2016,1611868,13,NA,NA,NA
"349","CBT",2017,1624067,13,NA,NA,NA
"350","CBT",2018,1211672,13,NA,NA,NA
"351","CBT",2019,1151232,13,NA,NA,NA
